"Data Set: X","Data Set: Y","Latest: Time (s)","Latest: Temperature (°C)"
,,451.5,37.0495339271
,,452,37.0786379327
,,452.5,37.1062176361
,,453,37.129206302
,,453.5,37.1613989794
,,454,37.1813327881
,,454.5,37.2150756756
,,455,37.2472950856
,,455.5,37.2856646757
,,456,37.3071579083
,,456.5,37.3409420993
,,457,37.371664691
,,457.5,37.3962494287
,,458,37.419303014
,,458.5,37.4561996376
,,459,37.4854189949
,,459.5,37.5038776771
,,460,37.536188498
,,460.5,37.5623524713
,,461,37.585443988
,,461.5,37.605460936
,,462,37.6301026729
,,462.5,37.6501285568
,,463,37.6824865531
,,463.5,37.704064392
,,464,37.7241051509
,,464.5,37.7456920326
,,465,37.7734535065
,,465.5,37.7919654851
,,466,37.8289998599
,,466.5,37.8506096754
,,467,37.8768565527
,,467.5,37.9015659097
,,468,37.9201020179
,,468.5,37.9479127688
,,469,37.9772771592
,,469.5,37.9973736844
,,470,38.0159280088
